,coal,natural gas,petroleum,other,solar,hydro
20191124T12-05,690,660,0,79,4,17
20191124T11-05,742,667,0,76,4,80
20191124T10-05,777,666,0,79,3,80
20191124T09-05,741,671,0,80,2,81
20191124T08-05,700,673,0,79,0,35
20191124T07-05,671,672,0,78,0,3
20191124T06-05,630,669,0,78,0,4
20191124T05-05,542,669,0,80,0,3
20191124T04-05,535,669,0,78,0,4
20191124T03-05,538,669,0,77,0,4
20191124T02-05,534,664,0,78,0,3
20191124T01-05,558,663,0,79,0,4
20191124T00-05,585,660,0,77,0,2
20191123T23-05,596,656,0,78,0,33
20191123T22-05,617,651,0,80,0,69
20191123T21-05,581,644,0,80,0,70
20191123T20-05,598,636,0,78,0,70
20191123T19-05,599,634,-1,79,0,141
20191123T18-05,595,635,0,77,0,102
20191123T17-05,573,638,0,79,0,2
20191123T16-05,571,636,0,80,0,2
20191123T15-05,593,626,0,78,2,1
20191123T14-05,655,629,0,80,2,1
20191123T13-05,654,632,0,77,2,2
20191123T12-05,705,637,0,77,1,2
20191123T11-05,739,648,0,82,2,10
20191123T10-05,734,651,0,80,2,70
20191123T09-05,711,654,-1,78,0,70
20191123T08-05,666,652,0,77,0,54
20191123T07-05,733,655,0,78,0,1
20191123T06-05,624,645,0,81,0,1
20191123T05-05,529,622,0,77,0,2
20191123T04-05,577,618,0,82,0,2
20191123T03-05,627,638,0,77,0,2
20191123T02-05,633,618,0,81,0,2
20191123T01-05,613,645,0,81,0,2
20191123T00-05,572,642,0,82,0,2
20191122T23-05,571,634,0,77,0,2
20191122T22-05,626,619,0,79,0,1
20191122T21-05,651,608,0,80,0,45
20191122T20-05,712,601,0,78,0,71
20191122T19-05,773,590,0,78,0,30
20191122T18-05,646,612,0,80,0,0
20191122T17-05,546,602,0,79,0,0
20191122T16-05,517,612,0,78,3,0
20191122T15-05,513,579,0,77,1,0
20191122T14-05,562,612,0,81,2,-1
20191122T13-05,574,623,0,78,2,0
20191122T12-05,571,637,0,77,3,16
20191122T11-05,598,656,0,79,2,99
20191122T10-05,611,762,0,83,2,166
20191122T09-05,602,829,0,73,1,195
20191122T08-05,696,826,-1,81,0,193
20191122T07-05,881,776,0,82,0,154
20191122T06-05,797,748,0,82,0,32
20191122T05-05,530,826,0,79,0,2
20191122T04-05,466,798,0,82,0,2
20191122T03-05,471,788,0,82,0,2
20191122T02-05,467,831,0,78,0,2
20191122T01-05,477,806,0,83,0,2
20191122T00-05,529,782,0,82,0,-1
20191121T23-05,720,700,0,82,0,0
20191121T22-05,792,682,0,83,0,27
20191121T21-05,785,695,0,81,0,67
20191121T20-05,787,727,0,77,0,66
20191121T19-05,880,702,-1,81,0,32
20191121T18-05,942,661,0,78,0,0
20191121T17-05,793,507,0,74,2,0
20191121T16-05,852,435,0,73,2,0
20191121T15-05,737,489,0,70,3,0
20191121T14-05,747,556,0,70,5,0
20191121T13-05,795,554,0,72,4,-1
20191121T12-05,994,472,0,68,4,0
20191121T11-05,1214,400,0,67,3,81
20191121T10-05,1372,348,0,76,4,193
20191121T09-05,1480,318,0,81,1,179
20191121T08-05,1704,278,-1,75,-1,175
20191121T07-05,1706,279,0,79,0,157
20191121T06-05,1618,298,0,80,0,36
20191121T05-05,1518,305,0,77,0,1
20191121T04-05,1368,330,0,80,0,1
20191121T03-05,1332,327,0,79,0,1
20191121T02-05,1315,323,0,80,0,1
20191121T01-05,1468,309,0,78,0,1
20191121T00-05,1598,289,0,82,0,22
20191120T23-05,1650,311,0,77,0,68
20191120T22-05,1589,319,0,79,0,72
20191120T21-05,1459,282,0,77,0,117
20191120T20-05,1444,248,0,80,0,114
20191120T19-05,1462,290,0,76,0,67
20191120T18-05,1222,316,0,79,0,51
20191120T17-05,1133,303,0,79,1,0
20191120T16-05,1158,296,0,77,2,0
20191120T15-05,1151,297,0,77,4,-1
20191120T14-05,1130,322,0,74,5,0
20191120T13-05,1101,315,0,75,4,0
20191120T12-05,1344,215,0,78,3,0
20191120T11-05,1360,313,0,74,4,60
20191120T10-05,1352,330,0,76,3,101
20191120T09-05,1595,310,0,75,2,180
20191120T08-05,1652,342,0,75,0,182
20191120T07-05,1583,339,0,76,0,130
20191120T06-05,1545,332,0,77,0,2
20191120T05-05,1501,330,0,78,0,2
20191120T04-05,1349,331,-1,79,0,1
20191120T03-05,1311,331,0,78,0,2
20191120T02-05,1318,330,0,77,0,2
20191120T01-05,1379,329,-1,80,0,2
20191120T00-05,1528,328,0,78,0,2
20191119T23-05,1549,328,0,77,0,0
20191119T22-05,1491,325,0,82,0,38
20191119T21-05,1472,327,0,80,0,69
20191119T20-05,1471,327,0,81,0,68
20191119T19-05,1491,325,0,81,0,68
20191119T18-05,1354,324,0,77,0,28
20191119T17-05,1161,321,0,79,1,1
20191119T16-05,1121,323,0,80,2,0
20191119T15-05,1140,325,0,81,3,2
20191119T14-05,1193,325,0,75,2,2
20191119T13-05,1206,323,0,78,4,0
20191119T12-05,1411,332,0,77,2,1
20191119T11-05,1562,333,0,75,2,11
20191119T10-05,1580,334,0,79,0,70
20191119T09-05,1555,336,0,76,1,69
20191119T08-05,1603,335,0,77,0,67
20191119T07-05,1486,335,0,75,0,61
20191119T06-05,1328,337,0,76,0,2
20191119T05-05,1182,336,0,79,0,2
20191119T04-05,1085,337,-1,78,0,2
20191119T03-05,1094,338,0,79,0,2
20191119T02-05,1104,336,0,74,0,2
20191119T01-05,1204,337,0,81,0,1
20191119T00-05,1336,336,0,78,0,18
20191118T23-05,1472,334,0,81,0,69
20191118T22-05,1539,335,0,78,0,69
20191118T21-05,1608,334,0,79,0,69
20191118T20-05,1605,332,0,75,0,68
20191118T19-05,1680,332,0,76,0,68
20191118T18-05,1607,332,0,77,0,29
