,coal,natural gas,other,hydro
20191023T15Z,141,68,5,0
20191023T14Z,179,69,5,0
20191023T13Z,139,69,4,0
20191023T12Z,130,69,5,0
20191023T11Z,131,69,5,0
20191023T10Z,130,68,5,0
20191023T09Z,130,69,4,0
20191023T08Z,132,69,5,0
20191023T07Z,132,69,5,0
20191023T06Z,128,69,5,0
20191023T05Z,143,82,5,0
20191023T04Z,181,103,4,0
20191023T03Z,177,104,5,0
20191023T02Z,175,104,5,0
20191023T01Z,182,104,5,0
20191023T00Z,194,104,5,0
20191022T23Z,183,103,4,0
20191022T22Z,220,104,5,0
20191022T21Z,220,104,5,0
20191022T20Z,221,104,5,0
20191022T19Z,220,104,4,0
20191022T18Z,200,104,5,0
20191022T17Z,191,103,5,0
20191022T16Z,181,104,5,0
20191022T15Z,177,104,4,0
20191022T14Z,177,104,5,0
20191022T13Z,175,104,5,0
20191022T12Z,179,104,5,0
20191022T11Z,128,81,4,0
20191022T10Z,124,74,5,0
20191022T09Z,125,90,5,0
20191022T08Z,126,104,5,0
20191022T07Z,128,103,5,0
20191022T06Z,172,93,4,0
20191022T05Z,174,111,5,0
20191022T04Z,172,124,5,0
20191022T03Z,173,127,5,0
20191022T02Z,173,129,5,0
20191022T01Z,172,129,5,0
20191022T00Z,171,127,5,0
20191021T23Z,172,127,5,0
20191021T22Z,171,127,4,0
20191021T21Z,172,128,5,0
20191021T20Z,173,129,5,0
20191021T19Z,173,127,5,0
20191021T18Z,172,129,4,0
20191021T17Z,169,128,5,0
20191021T16Z,136,129,5,0
20191021T15Z,135,128,4,0
20191021T14Z,135,128,5,0
20191021T13Z,135,129,5,0
20191021T12Z,136,123,5,0
20191021T11Z,134,95,4,0
20191021T10Z,136,94,5,0
20191021T09Z,136,93,5,0
20191021T08Z,134,94,5,0
20191021T07Z,137,88,5,0
20191021T06Z,134,84,4,0
20191021T05Z,135,83,5,0
20191021T04Z,134,88,5,0
20191021T03Z,156,110,5,0
20191021T02Z,185,119,5,0
20191021T01Z,199,127,4,0
20191021T00Z,191,131,5,0
20191020T23Z,187,130,5,0
20191020T22Z,177,131,5,0
20191020T21Z,146,132,5,0
20191020T20Z,138,132,4,0
20191020T19Z,131,124,5,0
20191020T18Z,131,116,5,0
20191020T17Z,129,103,5,0
20191020T16Z,131,105,4,0
20191020T15Z,130,99,5,0
20191020T14Z,130,99,5,0
20191020T13Z,131,99,5,0
20191020T12Z,120,105,4,0
20191020T11Z,109,113,5,0
20191020T10Z,132,89,5,0
20191020T09Z,129,88,5,0
20191020T08Z,131,89,5,0
20191020T07Z,131,88,4,0
20191020T06Z,130,94,5,0
20191020T05Z,132,90,5,0
20191020T04Z,130,88,5,0
20191020T03Z,130,105,5,0
20191020T02Z,129,101,4,0
20191020T01Z,130,131,5,0
20191020T00Z,132,131,5,0
20191019T23Z,129,131,5,0
20191019T22Z,129,131,5,0
20191019T21Z,133,131,4,0
20191019T20Z,130,131,5,0
20191019T19Z,130,131,5,0
20191019T18Z,131,131,5,0
20191019T17Z,131,131,4,0
20191019T16Z,130,131,4,0
20191019T15Z,130,131,2,0
20191019T14Z,133,124,0,0
20191019T13Z,128,104,0,0
20191019T12Z,132,103,0,0
20191019T11Z,131,100,0,0
20191019T10Z,130,94,0,0
20191019T09Z,132,94,2,0
20191019T08Z,130,94,5,0
20191019T07Z,131,89,4,0
20191019T06Z,131,73,5,0
20191019T05Z,131,68,5,0
20191019T04Z,130,69,5,0
20191019T03Z,131,69,5,0
20191019T02Z,130,88,5,0
20191019T01Z,129,104,4,0
20191019T00Z,130,104,5,0
20191018T23Z,131,101,5,0
20191018T22Z,129,90,5,0
20191018T21Z,131,79,5,0
20191018T20Z,132,70,4,0
20191018T19Z,129,74,5,0
20191018T18Z,131,78,5,0
20191018T17Z,138,97,5,0
20191018T16Z,133,65,4,0
20191018T15Z,130,65,5,0
20191018T14Z,128,103,5,0
20191018T13Z,132,70,5,0
20191018T12Z,132,81,4,0
20191018T11Z,130,87,5,0
20191018T10Z,131,64,5,0
20191018T09Z,131,64,5,0
20191018T08Z,131,64,4,0
20191018T07Z,131,64,5,0
20191018T06Z,130,64,5,0
20191018T05Z,138,64,5,0
20191018T04Z,148,64,5,0
20191018T03Z,148,70,5,0
20191018T02Z,147,86,5,0
20191018T01Z,148,75,4,0
20191018T00Z,136,104,5,0
20191017T23Z,131,90,5,0
20191017T22Z,128,78,5,0
20191017T21Z,132,73,5,0
20191017T20Z,131,70,5,0
20191017T19Z,131,64,4,0
20191017T18Z,146,85,5,0
20191017T17Z,146,90,5,0
20191017T16Z,144,93,4,0
20191017T15Z,145,83,4,0
20191017T14Z,147,83,4,0
20191017T13Z,143,82,4,0
20191017T12Z,146,78,4,0
20191017T11Z,145,62,4,0
20191017T10Z,145,61,4,0
20191017T09Z,142,61,4,0
20191017T08Z,140,61,4,0
20191017T07Z,141,61,4,0
20191017T06Z,141,61,4,0
20191017T05Z,140,64,4,0
20191017T04Z,171,76,4,0
20191017T03Z,181,100,4,0
20191017T02Z,176,108,4,0
20191017T01Z,197,107,4,0
20191017T00Z,193,105,4,0
