,coal,natural gas,nuclear,petroleum,other,solar
20191018T11Z,382,1190,68,0.0,8,0
20191018T10Z,380,1042,66,0.0,8,0
20191018T09Z,382,968,65,0.0,7,0
20191018T08Z,380,958,66,0.0,8,0
20191018T07Z,381,999,67,0.0,8,0
20191018T06Z,381,1094,66,0.0,8,0
20191018T05Z,429,1152,66,0.0,8,0
20191018T04Z,603,1145,70,0.0,8,0
20191018T03Z,662,1334,71,0.0,7,0
20191018T02Z,792,1416,66,0.0,8,0
20191018T01Z,965,1386,72,0.0,8,0
20191018T00Z,1101,1378,68,0.0,8,0
20191017T23Z,1109,1390,70,0.0,8,1
20191017T22Z,1631,1456,68,0.0,8,6
20191017T21Z,735,1461,71,0.0,8,12
20191017T20Z,1200,1449,70,0.0,8,19
20191017T19Z,1184,1431,68,0.0,8,18
20191017T18Z,1128,1424,70,0.0,7,16
20191017T17Z,1116,1316,70,2.0,8,19
20191017T16Z,1018,1263,68,0.0,8,21
20191017T15Z,857,1283,68,0.0,8,16
20191017T14Z,836,1165,70,0.0,8,10
20191017T13Z,837,1075,69,0.0,8,2
20191017T12Z,750,1107,72,0.0,8,0
20191017T11Z,571,1197,68,0.0,8,0
20191017T10Z,483,1115,68,0.0,8,0
20191017T09Z,486,1035,69,0.0,7,0
20191017T08Z,484,1030,70,0.0,8,0
20191017T07Z,486,1075,69,0.0,8,0
