,hydro
20190922T15Z,182
20190922T14Z,179
20190922T13Z,167
20190922T12Z,135
20190922T11Z,147
20190922T10Z,173
20190922T09Z,201
20190922T08Z,201
20190922T07Z,219
20190922T06Z,304
20190922T05Z,341
20190922T04Z,314
20190922T03Z,222
20190922T02Z,226
20190922T01Z,242
20190922T00Z,235
20190921T23Z,239
20190921T22Z,234
20190921T21Z,302
20190921T20Z,267
20190921T19Z,255
20190921T18Z,248
20190921T17Z,171
20190921T16Z,167
20190921T15Z,166
20190921T14Z,111
20190921T13Z,101
20190921T12Z,98
20190921T11Z,105
20190921T10Z,121
20190921T09Z,104
20190921T08Z,104
20190921T07Z,267
20190921T06Z,235
20190921T05Z,263
20190921T04Z,296
20190921T03Z,274
20190921T02Z,245
20190921T01Z,233
20190921T00Z,239
20190920T23Z,255
20190920T22Z,293
20190920T21Z,323
20190920T20Z,246
20190920T19Z,208
20190920T18Z,201
20190920T17Z,228
20190920T16Z,267
20190920T15Z,174
20190920T14Z,159
20190920T13Z,101
20190920T12Z,103
20190920T11Z,101
20190920T10Z,97
20190920T09Z,108
20190920T08Z,108
20190920T07Z,300
20190920T06Z,282
20190920T05Z,313
20190920T04Z,297
20190920T03Z,290
20190920T02Z,280
20190920T01Z,247
20190920T00Z,227
20190919T23Z,224
20190919T22Z,217
20190919T21Z,242
20190919T20Z,230
20190919T19Z,223
20190919T18Z,233
20190919T17Z,255
20190919T16Z,301
20190919T15Z,317
20190919T14Z,165
20190919T13Z,102
20190919T12Z,101
20190919T11Z,108
20190919T10Z,97
20190919T09Z,106
20190919T08Z,106
20190919T07Z,210
20190919T06Z,315
20190919T05Z,355
20190919T04Z,388
20190919T03Z,306
20190919T02Z,277
20190919T01Z,268
20190919T00Z,269
20190918T23Z,234
20190918T22Z,270
20190918T21Z,282
20190918T20Z,262
20190918T19Z,227
20190918T18Z,218
20190918T17Z,276
20190918T16Z,310
20190918T15Z,289
20190918T14Z,220
20190918T13Z,159
20190918T12Z,153
20190918T11Z,177
20190918T10Z,185
20190918T09Z,180
20190918T08Z,180
20190918T07Z,171
20190918T06Z,178
20190918T05Z,215
20190918T04Z,200
20190918T03Z,180
20190918T02Z,121
20190918T01Z,127
20190918T00Z,152
20190917T23Z,166
20190917T22Z,170
20190917T21Z,174
20190917T20Z,163
20190917T19Z,165
20190917T18Z,152
20190917T17Z,177
20190917T16Z,243
20190917T15Z,191
20190917T14Z,117
20190917T13Z,100
20190917T12Z,98
20190917T11Z,99
20190917T10Z,96
20190917T09Z,98
20190917T08Z,98
20190917T07Z,101
20190917T06Z,128
20190917T05Z,139
20190917T04Z,157
20190917T03Z,165
20190917T02Z,217
20190917T01Z,260
20190917T00Z,240
20190916T23Z,284
20190916T22Z,412
20190916T21Z,443
20190916T20Z,474
20190916T19Z,427
20190916T18Z,399
20190916T17Z,438
20190916T16Z,476
20190916T15Z,484
20190916T14Z,457
20190916T13Z,238
20190916T12Z,227
20190916T11Z,210
20190916T10Z,229
20190916T09Z,414
20190916T08Z,423
20190916T07Z,521
20190916T06Z,527
20190916T05Z,549
20190916T04Z,478
20190916T03Z,319
20190916T02Z,337
20190916T01Z,269
20190916T00Z,191
20190915T23Z,207
20190915T22Z,224
20190915T21Z,251
20190915T20Z,258
20190915T19Z,251
20190915T18Z,259
20190915T17Z,246
20190915T16Z,236
20190915T15Z,213
20190915T14Z,137
20190915T13Z,119
20190915T12Z,170
20190915T11Z,343
20190915T10Z,208
20190915T09Z,197
20190915T08Z,197
20190915T07Z,488
20190915T06Z,477
20190915T05Z,483
20190915T04Z,510
20190915T03Z,361
20190915T02Z,374
20190915T01Z,362
20190915T00Z,339
20190914T23Z,327
20190914T22Z,323
20190914T21Z,333
20190914T20Z,301
20190914T19Z,279
20190914T18Z,272
20190914T17Z,281
20190914T16Z,353
20190914T15Z,245
20190914T14Z,153
20190914T13Z,181
20190914T12Z,226
20190914T11Z,277
20190914T10Z,285
20190914T09Z,374
20190914T08Z,374
20190914T07Z,450
20190914T06Z,447
20190914T05Z,377
