,coal,natural gas,nuclear,other,solar,hydro
20191020T15Z,1600,1238,7182,,199,199
20191020T14Z,1497,1232,7183,,121,119
20191020T13Z,1444,1226,7185,,31,-5
20191020T12Z,1445,1208,7184,,1,-470
20191020T11Z,1276,1209,7183,,0,-858
20191020T10Z,1007,1218,7184,,-1,-1169
20191020T09Z,918,1212,7183,,-1,-1325
20191020T08Z,892,1215,7183,,0,-1353
20191020T07Z,879,1211,7180,,-1,-1278
20191020T06Z,974,1220,7188,,0,-1010
20191020T05Z,1098,1247,7191,,0,-911
20191020T04Z,1249,1250,7189,,-1,-402
20191020T03Z,1402,1261,7192,,0,-39
20191020T02Z,1602,1268,7195,,-1,335
20191020T01Z,1746,1275,7193,,0,657
20191020T00Z,1807,1258,7193,,0,881
20191019T23Z,1820,1193,7189,,4,451
20191019T22Z,1841,1171,7197,,20,-28
20191019T21Z,1839,966,7191,,54,-191
20191019T20Z,1589,818,7194,,102,103
20191019T19Z,1464,911,7195,,132,-113
20191019T18Z,1499,1135,7196,,143,76
20191019T17Z,1497,1094,7195,,158,229
20191019T16Z,1499,1207,7200,,157,234
20191019T15Z,1443,1241,7199,,175,245
20191019T14Z,1463,1253,7200,,130,552
20191019T13Z,1464,1319,7200,,49,649
20191019T12Z,1346,1169,7199,,3,715
20191019T11Z,1171,1112,7203,,0,384
20191019T10Z,1045,1111,7199,,-1,-122
20191019T09Z,920,1096,7197,,-2,-363
20191019T08Z,898,1047,7196,,-1,-392
20191019T07Z,947,976,7196,,0,-394
20191019T06Z,1100,976,7201,,0,-363
20191019T05Z,1131,1264,7190,,-1,-317
20191019T04Z,1115,1447,7195,,0,-10
20191019T03Z,1231,1851,7194,,0,53
20191019T02Z,1333,1914,7194,,0,459
20191019T01Z,1395,1865,7194,,-4,654
