,natural gas,other,solar,hydro
20191012T12Z,39,534,0,21
20191012T11Z,40,527,0,20
20191012T10Z,42,530,0,23
20191012T09Z,51,528,0,18
20191012T08Z,46,531,0,16
20191012T07Z,59,527,0,19
20191012T06Z,58,522,0,18
20191012T05Z,57,523,0,18
20191012T04Z,102,524,0,19
20191012T03Z,106,518,0,17
20191012T02Z,105,519,0,18
20191012T01Z,103,523,34,19
20191012T00Z,62,516,107,20
20191011T23Z,57,496,143,20
20191011T22Z,59,477,149,21
20191011T21Z,50,468,140,21
20191011T20Z,42,450,143,22
20191011T19Z,47,448,145,21
20191011T18Z,50,439,147,22
20191011T17Z,55,454,139,21
20191011T16Z,53,509,115,22
20191011T15Z,53,536,35,21
20191011T14Z,59,536,0,21
20191011T13Z,58,532,0,20
20191011T12Z,58,530,0,22
20191011T11Z,56,532,0,21
20191011T10Z,58,533,0,21
20191011T09Z,59,528,0,21
20191011T08Z,59,527,0,23
20191011T07Z,54,525,0,19
20191011T06Z,58,527,0,20
20191011T05Z,60,528,0,19
20191011T04Z,104,525,0,19
20191011T03Z,106,521,0,17
20191011T02Z,105,522,3,20
20191011T01Z,99,520,30,19
20191011T00Z,56,530,105,20
20191010T23Z,59,510,147,18
20191010T22Z,59,517,154,22
20191010T21Z,48,514,157,19
20191010T20Z,51,503,155,19
20191010T19Z,58,490,137,20
20191010T18Z,59,511,141,20
20191010T17Z,56,525,125,21
20191010T16Z,51,519,105,22
20191010T15Z,57,522,28,21
20191010T14Z,59,519,0,22
20191010T13Z,56,520,0,24
20191010T12Z,48,518,0,20
20191010T11Z,56,515,0,18
20191010T10Z,57,509,0,19
20191010T09Z,57,515,0,23
20191010T08Z,58,518,0,20
20191010T07Z,84,517,0,18
20191010T06Z,91,518,0,18
20191010T05Z,133,511,0,17
20191010T04Z,149,511,0,19
20191010T03Z,147,511,0,19
20191010T02Z,148,504,0,19
20191010T01Z,146,507,32,18
20191010T00Z,106,505,97,20
20191009T23Z,58,511,154,21
20191009T22Z,58,513,154,22
20191009T21Z,57,510,152,21
20191009T20Z,53,510,156,20
20191009T19Z,41,513,157,22
20191009T18Z,46,501,152,22
20191009T17Z,41,488,150,22
20191009T16Z,41,496,117,23
20191009T15Z,51,496,38,22
20191009T14Z,54,492,0,22
20191009T13Z,59,495,0,23
20191009T12Z,59,489,0,23
20191009T11Z,58,483,0,21
20191009T10Z,59,482,0,20
20191009T09Z,59,480,0,20
20191009T08Z,59,482,0,20
20191009T07Z,79,478,0,20
20191009T06Z,92,482,0,21
20191009T05Z,92,487,0,21
20191009T04Z,147,484,0,21
20191009T03Z,148,482,0,18
20191009T02Z,147,483,0,18
20191009T01Z,136,479,36,19
20191009T00Z,80,481,110,19
20191008T23Z,53,482,144,18
20191008T22Z,56,479,151,18
20191008T21Z,57,481,151,18
20191008T20Z,58,474,151,19
20191008T19Z,58,476,156,18
20191008T18Z,58,442,148,18
20191008T17Z,46,457,142,19
20191008T16Z,49,495,115,18
20191008T15Z,52,493,38,18
20191008T14Z,58,501,1,18
20191008T13Z,59,496,0,19
20191008T12Z,59,496,0,17
20191008T11Z,59,495,0,18
20191008T10Z,59,489,0,18
20191008T09Z,59,488,0,18
20191008T08Z,59,497,0,17
20191008T07Z,59,488,0,19
20191008T06Z,73,495,0,18
20191008T05Z,97,487,0,17
20191008T04Z,95,489,0,18
20191008T03Z,93,486,0,17
20191008T02Z,83,486,1,18
20191008T01Z,58,485,38,17
20191008T00Z,59,490,113,17
20191007T23Z,51,487,144,16
20191007T22Z,56,490,152,17
20191007T21Z,58,482,154,18
20191007T20Z,57,481,155,16
20191007T19Z,58,481,147,18
20191007T18Z,56,480,131,16
20191007T17Z,40,491,147,17
20191007T16Z,39,498,119,18
20191007T15Z,52,501,43,16
20191007T14Z,59,500,1,17
20191007T13Z,59,502,0,17
20191007T12Z,53,498,0,16
20191007T11Z,53,501,0,16
20191007T10Z,59,496,0,17
20191007T09Z,59,493,0,16
20191007T08Z,59,496,0,16
20191007T07Z,56,489,0,13
20191007T06Z,73,489,0,15
20191007T05Z,119,491,0,13
20191007T04Z,130,486,0,13
20191007T03Z,145,482,0,12
20191007T02Z,147,484,0,13
20191007T01Z,139,485,39,14
20191007T00Z,88,485,113,12
20191006T23Z,56,479,142,17
20191006T22Z,58,483,151,9
20191006T21Z,49,468,151,14
20191006T20Z,57,433,151,11
20191006T19Z,59,426,152,11
20191006T18Z,53,428,151,16
20191006T17Z,53,445,144,15
20191006T16Z,56,495,120,15
20191006T15Z,52,499,37,13
20191006T14Z,59,499,0,13
20191006T13Z,58,491,0,15
20191006T12Z,59,490,0,15
20191006T11Z,59,493,0,15
20191006T10Z,59,487,0,17
20191006T09Z,59,489,0,18
20191006T08Z,59,487,0,16
20191006T07Z,72,511,0,17
20191006T06Z,101,516,0,18
20191006T05Z,95,511,0,15
20191006T04Z,134,511,0,19
20191006T03Z,143,507,0,15
