,solar,hydro,wind
20191013T13Z,0,20,-3
20191013T12Z,0,13,-4
20191013T11Z,0,20,-4
20191013T10Z,0,23,-4
20191013T09Z,0,31,-5
20191013T08Z,0,31,-3
20191013T07Z,0,30,-5
20191013T06Z,0,30,-3
20191013T05Z,0,40,-5
20191013T04Z,0,40,-3
20191013T03Z,0,40,-5
20191013T02Z,0,40,-3
20191013T01Z,0,40,-3
20191013T00Z,0,41,-3
20191012T23Z,0,40,-5
20191012T22Z,0,40,-3
20191012T21Z,0,40,-5
20191012T20Z,0,40,-3
20191012T19Z,0,40,-5
20191012T18Z,0,40,-5
20191012T17Z,0,23,-2
20191012T16Z,0,10,-5
20191012T15Z,0,10,-4
20191012T14Z,0,10,-4
20191012T13Z,0,10,-4
20191012T12Z,0,10,-1
20191012T11Z,0,22,-4
20191012T10Z,0,30,-1
20191012T09Z,0,32,7
20191012T08Z,0,32,13
20191012T07Z,0,31,24
20191012T06Z,0,37,30
20191012T05Z,0,40,67
20191012T04Z,0,40,82
20191012T03Z,0,40,112
20191012T02Z,0,40,127
20191012T01Z,0,40,134
20191012T00Z,0,40,184
20191011T23Z,0,40,180
20191011T22Z,0,46,139
20191011T21Z,0,45,118
20191011T20Z,0,42,108
20191011T19Z,0,55,68
20191011T18Z,0,40,65
20191011T17Z,0,40,78
20191011T16Z,0,40,113
20191011T15Z,0,40,156
20191011T14Z,0,39,188
20191011T13Z,0,13,187
20191011T12Z,0,4,160
20191011T11Z,0,9,150
20191011T10Z,0,30,133
20191011T09Z,0,30,123
20191011T08Z,0,30,122
20191011T07Z,0,35,90
20191011T06Z,0,34,56
20191011T05Z,0,27,65
20191011T04Z,0,21,99
20191011T03Z,0,51,107
20191011T02Z,0,40,80
20191011T01Z,0,23,82
20191011T00Z,0,33,55
20191010T23Z,0,33,38
20191010T22Z,0,46,26
20191010T21Z,0,29,23
20191010T20Z,0,47,8
20191010T19Z,0,49,3
20191010T18Z,0,47,-5
20191010T17Z,0,35,-4
20191010T16Z,0,35,-5
20191010T15Z,0,39,-4
20191010T14Z,0,15,-4
