,Total interchange
20191002T11Z,-6765
20191002T10Z,-6925
20191002T09Z,-7285
20191002T08Z,-6822
20191002T07Z,-6111
20191002T06Z,-6559
20191002T05Z,-7075
20191002T04Z,-7784
20191002T03Z,-7946
20191002T02Z,-7336
20191002T01Z,-5325
20191002T00Z,-3054
20191001T23Z,-2445
20191001T22Z,-2594
20191001T21Z,-2872
20191001T20Z,-2836
20191001T19Z,-2856
20191001T18Z,-3426
20191001T17Z,-3724
20191001T16Z,-4440
20191001T15Z,-6514
20191001T14Z,-7185
20191001T13Z,-6035
20191001T12Z,-5568
20191001T11Z,-5531
20191001T10Z,-5559
20191001T09Z,-5713
20191001T08Z,-5795
20191001T07Z,-6413
20191001T06Z,-6935
20191001T05Z,-8106
20191001T04Z,-9159
20191001T03Z,-9236
20191001T02Z,-8332
20191001T01Z,-5536
20191001T00Z,-3397
20190930T23Z,-3235
20190930T22Z,-3739
20190930T21Z,-3458
20190930T20Z,-3498
20190930T19Z,-3385
20190930T18Z,-3093
20190930T17Z,-3408
20190930T16Z,-4672
20190930T15Z,-7669
20190930T14Z,-8770
20190930T13Z,-7573
20190930T12Z,-6979
20190930T11Z,-6618
20190930T10Z,-6860
20190930T09Z,-6972
20190930T08Z,-6901
20190930T07Z,-7080
20190930T06Z,-7135
20190930T05Z,-8171
20190930T04Z,-9336
20190930T03Z,-9785
20190930T02Z,-8497
20190930T01Z,-4898
20190930T00Z,-2576
20190929T23Z,-1698
20190929T22Z,-1721
20190929T21Z,-1104
20190929T20Z,-1443
20190929T19Z,-1834
20190929T18Z,-1935
20190929T17Z,-2698
20190929T16Z,-4600
20190929T15Z,-7022
20190929T14Z,-7894
20190929T13Z,-7606
20190929T12Z,-7409
20190929T11Z,-7399
20190929T10Z,-7302
20190929T09Z,-7355
20190929T08Z,-7435
20190929T07Z,-8037
20190929T06Z,-8426
20190929T05Z,-9818
20190929T04Z,-10618
20190929T03Z,-10896
20190929T02Z,-10042
20190929T01Z,-6934
20190929T00Z,-4367
20190928T23Z,-3718
20190928T22Z,-3971
20190928T21Z,-3597
20190928T20Z,-4073
20190928T19Z,-4508
20190928T18Z,-4204
20190928T17Z,-5268
20190928T16Z,-6550
20190928T15Z,-7687
