,Total interchange
20191011T15Z,-2678
20191011T14Z,-2588
20191011T13Z,-2423
20191011T12Z,-2066
20191011T11Z,-1711
20191011T10Z,-1133
20191011T09Z,-745
20191011T08Z,-699
20191011T07Z,-856
20191011T06Z,-922
20191011T05Z,-1266
20191011T04Z,-1275
20191011T03Z,-1718
20191011T02Z,-1833
20191011T01Z,-1991
20191011T00Z,-2255
20191010T23Z,-2604
20191010T22Z,-2453
20191010T21Z,-2267
20191010T20Z,-2193
20191010T19Z,-2294
20191010T18Z,-2321
20191010T17Z,-2214
20191010T16Z,-2387
20191010T15Z,-2370
20191010T14Z,-2184
20191010T13Z,-2168
20191010T12Z,-2146
20191010T11Z,-1867
20191010T10Z,-1721
20191010T09Z,-1570
20191010T08Z,-1521
20191010T07Z,-1495
20191010T06Z,-1600
20191010T05Z,-1631
20191010T04Z,-1516
20191010T03Z,-1679
20191010T02Z,-1988
20191010T01Z,-2415
20191010T00Z,-2452
20191009T23Z,-2303
20191009T22Z,-2331
20191009T21Z,-2611
20191009T20Z,-2557
20191009T19Z,-2456
20191009T18Z,-2592
20191009T17Z,-2443
20191009T16Z,-2478
20191009T15Z,-2645
20191009T14Z,-2484
20191009T13Z,-2307
20191009T12Z,-1875
20191009T11Z,-1658
20191009T10Z,-1418
20191009T09Z,-1010
20191009T08Z,-1005
20191009T07Z,-1083
20191009T06Z,-1257
20191009T05Z,-1462
20191009T04Z,-1293
20191009T03Z,-1637
20191009T02Z,-1816
20191009T01Z,-1968
20191009T00Z,-2087
20191008T23Z,-2280
20191008T22Z,-2464
20191008T21Z,-2575
20191008T20Z,-2621
20191008T19Z,-2604
20191008T18Z,-2463
20191008T17Z,-2514
20191008T16Z,-2315
20191008T15Z,-2364
20191008T14Z,-2277
20191008T13Z,-2093
20191008T12Z,-1837
20191008T11Z,-1346
20191008T10Z,-1169
20191008T09Z,-723
20191008T08Z,-696
20191008T07Z,-882
20191008T06Z,-1009
20191008T05Z,-1209
20191008T04Z,-1640
20191008T03Z,-1882
20191008T02Z,-2025
20191008T01Z,-2142
20191008T00Z,-2550
20191007T23Z,-2528
20191007T22Z,-2695
20191007T21Z,-2678
20191007T20Z,-2931
20191007T19Z,-3082
20191007T18Z,-3282
20191007T17Z,-3431
20191007T16Z,-3506
20191007T15Z,-3535
20191007T14Z,-3205
20191007T13Z,-2863
20191007T12Z,-2818
20191007T11Z,-2329
20191007T10Z,-2237
20191007T09Z,-1852
20191007T08Z,-1632
20191007T07Z,-1647
20191007T06Z,-1635
20191007T05Z,-1858
20191007T04Z,-1907
20191007T03Z,-2363
20191007T02Z,-2406
20191007T01Z,-2289
20191007T00Z,-2474
20191006T23Z,-2321
20191006T22Z,-2321
20191006T21Z,-2132
20191006T20Z,-1931
20191006T19Z,-2428
20191006T18Z,-2271
20191006T17Z,-2389
20191006T16Z,-2067
20191006T15Z,-1502
20191006T14Z,-1618
20191006T13Z,-1188
20191006T12Z,-1040
20191006T11Z,-1105
20191006T10Z,-1079
20191006T09Z,-1094
20191006T08Z,-1279
20191006T07Z,-1556
20191006T06Z,-1601
20191006T05Z,-1801
20191006T04Z,-1777
20191006T03Z,-2030
20191006T02Z,-2453
20191006T01Z,-2554
20191006T00Z,-2630
20191005T23Z,-2577
20191005T22Z,-2247
20191005T21Z,-2189
20191005T20Z,-2368
20191005T19Z,-2407
20191005T18Z,-2418
20191005T17Z,-2474
20191005T16Z,-2466
20191005T15Z,-2338
20191005T14Z,-2335
20191005T13Z,-2115
20191005T12Z,-2001
20191005T11Z,-1781
20191005T10Z,-1871
20191005T09Z,-1941
20191005T08Z,-2056
20191005T07Z,-2085
20191005T06Z,-2353
20191005T05Z,-2464
20191005T04Z,-2507
20191005T03Z,-2840
20191005T02Z,-2869
20191005T01Z,-2955
20191005T00Z,-3110
20191004T23Z,-3156
20191004T22Z,-3251
20191004T21Z,-3274
20191004T20Z,-3303
20191004T19Z,-3292
20191004T18Z,-3471
20191004T17Z,-3509
20191004T16Z,-3364
20191004T15Z,-3391
20191004T14Z,-3450
20191004T13Z,-3368
20191004T12Z,-3018
20191004T11Z,-2919
20191004T10Z,-1944
20191004T09Z,-1762
20191004T08Z,-1972
20191004T07Z,-1912
20191004T06Z,-1987
20191004T05Z,-2323
20191004T04Z,-2310
20191004T03Z,-2799
20191004T02Z,-2957
20191004T01Z,-3147
20191004T00Z,-2550
20191003T23Z,-2665
20191003T22Z,-2683
20191003T21Z,-2815
20191003T20Z,-2827
20191003T19Z,-2648
20191003T18Z,-2750
20191003T17Z,-3203
20191003T16Z,-3358
20191003T15Z,-3301
20191003T14Z,-3476
20191003T13Z,-3425
20191003T12Z,-3129
20191003T11Z,-2611
20191003T10Z,-2789
20191003T09Z,-2641
20191003T08Z,-2426
20191003T07Z,-2653
20191003T06Z,-2943
20191003T05Z,-3261
20191003T04Z,-3115
20191003T03Z,-3307
20191003T02Z,-3407
20191003T01Z,-2897
20191003T00Z,-2635
20191002T23Z,-2833
20191002T22Z,-2707
20191002T21Z,-2766
20191002T20Z,-2964
20191002T19Z,-3522
20191002T18Z,-3371
20191002T17Z,-3518
20191002T16Z,-4083
20191002T15Z,-4297
20191002T14Z,-4323
20191002T13Z,-4259
20191002T12Z,-3757
20191002T11Z,-3687
20191002T10Z,-3372
20191002T09Z,-3269
20191002T08Z,-3406
20191002T07Z,-3644
20191002T06Z,-3579
20191002T05Z,-3712
20191002T04Z,-3299
20191002T03Z,-3469
20191002T02Z,-3180
20191002T01Z,-3041
20191002T00Z,-3304
20191001T23Z,-3517
20191001T22Z,-3751
20191001T21Z,-3528
20191001T20Z,-3356
20191001T19Z,-3339
20191001T18Z,-3409
